dataset,strong_branching_limit,num_features,hl1,hl2,hl3,hl4,epochs,num_branch_callbacks,runtime
bienst2.mps.gz,320,7,10,10,10,10,20,2555,180.004183

solution status,objective value
node_limit_feasible,55.375

branch iter,predicted var
320,81
321,112
322,96
323,82
324,84
325,467
326,90
327,92
328,67
329,101
330,64
331,112
332,83
333,65
334,112
335,110
336,86
337,68
338,89
339,112
340,101
341,108
342,312
343,112
344,371
345,291
346,97
347,97
348,85
349,82
350,81
351,94
352,86
353,158
354,89
355,97
356,300
357,95
358,95
359,106
360,85
361,160
362,157
363,294
364,93
365,82
366,95
367,93
368,83
369,103
370,159
371,150
372,151
373,156
374,152
375,153
376,154
377,93
378,112
379,107
380,104
381,82
382,83
383,294
384,93
385,104
386,93
387,95
388,83
389,93
390,126
391,233
392,87
393,88
394,95
395,294
396,93
397,82
398,79
399,97
400,466
401,93
402,95
403,103
404,83
405,81
406,97
407,67
408,187
409,88
410,102
411,167
412,88
413,221
414,93
415,95
416,89
417,107
418,100
419,101
420,67
421,96
422,106
423,96
424,97
425,83
426,97
427,65
428,484
429,435
430,83
431,165
432,214
433,263
434,97
435,97
436,97
437,97
438,165
439,214
440,263
441,97
442,435
443,97
444,97
445,435
446,97
447,97
448,435
449,97
450,97
451,108
452,101
453,89
454,138
455,95
456,89
457,110
458,95
459,99
460,103
461,99
462,99
463,110
464,88
465,140
466,86
467,89
468,379
469,87
470,109
471,95
472,26
473,86
474,89
475,79
476,81
477,67
478,65
479,380
480,87
481,88
482,96
483,68
484,88
485,83
486,87
487,279
488,89
489,81
490,88
491,88
492,67
493,86
494,89
495,83
496,89
497,102
498,109
499,93
500,103
501,102
502,94
503,95
504,79
505,82
506,194
507,81
508,96
509,81
510,68
511,102
512,99
513,110
514,110
515,96
516,108
517,111
518,372
519,64
520,344
521,83
522,95
523,90
524,80
525,67
526,38
527,95
528,100
529,112
530,378
531,83
532,51
533,99
534,140
535,88
536,67
537,103
538,86
539,102
540,89
541,96
542,97
543,69
544,81
545,79
546,103
547,81
548,79
549,427
550,99
551,29
552,88
553,80
554,112
555,156
556,110
557,67
558,100
559,176
560,93
561,93
562,502
563,242
564,303
565,293
566,89
567,299
568,89
569,69
570,304
571,437
572,186
573,291
574,89
575,193
576,89
577,69
578,89
579,89
580,304
581,89
582,103
583,156
584,100
585,67
586,90
587,103
588,156
589,81
590,89
591,95
592,92
593,87
594,85
595,69
596,88
597,68
598,90
599,483
600,88
601,89
602,67
603,96
604,102
605,101
606,90
607,110
608,109
609,67
610,89
611,104
612,151
613,103
614,110
615,100
616,83
617,81
618,67
619,92
620,104
621,460
622,437
623,103
624,97
625,90
626,88
